date,close,volume,open,high,low
4/25/11,28.22,3268354,28.29,28.42,27.84
4/26/11,28.29,2556164,28.31,28.36,27.91
4/27/11,27.52,5046140,28.04,28.07,27.1
4/28/11,27.51,5057400,27.5,28.18,27.37
4/29/11,31.46,11978230,31.39,31.95,29.7
5/2/11,30.58,4682206,31.59,31.69,30.5
5/3/11,29.82,3522624,30.51,30.53,29.575
5/4/11,29.5,3249189,29.77,30.36,29.21
5/5/11,29.82,4178387,29.16,30.56,28.75
5/6/11,29.61,3179634,30.17,30.29,29.4301
5/9/11,29.66,3126667,29.54,30.2,29.33
5/10/11,29.94,3148474,29.83,30.31,29.51
5/11/11,28.77,4001698,29.84,29.92,28.44
5/12/11,28.57,4625020,28.48,29.14,28.28
5/13/11,28.34,3266051,28.6,28.85,28.18
5/16/11,27.24,3985087,28.21,28.34,27.16
5/17/11,26.64,4730342,27.24,27.24,26.36
5/18/11,27.75,4755012,27.67,27.9275,26.915
5/19/11,27.51,2526070,27.91,27.91,27.32
5/20/11,27.31,2155074,27.64,27.74,27.09
5/23/11,26.63,2690266,26.66,26.92,26.26
5/24/11,26.52,2349619,26.89,27.05,26.3601
5/25/11,26.84,2136738,26.37,27,26.37
5/26/11,27.03,2103318,26.9,27.05,26.53
5/27/11,25.5,11532090,27.2,27.24,24.79
5/31/11,25.47,6095511,25.65,25.91,24.57
6/1/11,24.56,4758825,25.3,25.5,24.43
6/2/11,24.92,4342964,24.48,24.99,24.22
6/3/11,23.06,9483814,24.31,24.47,23.06
6/6/11,23.2785,4766990,23.01,23.7,23
6/7/11,25.08,12609060,24.11,25.89,24
6/8/11,24.42,5434253,24.84,24.88,24.1
6/9/11,24.94,6047323,24.61,25.52,24.3
6/10/11,24.32,3954011,24.77,24.84,23.9
6/13/11,23.515,3111297,24.36,24.54,23.36
6/14/11,24.91,5846420,23.94,25.18,23.9
6/15/11,24.12,2994379,24.47,24.66,24.08
6/16/11,23.51,2712423,24.13,24.24,23.22
6/17/11,23.16,3389602,23.93,24.09,23.0275
6/20/11,21.7,13006100,22.34,22.58,21.49
6/21/11,22.53,5615193,21.79,23.1,21.41
6/22/11,22.39,2745735,22.4,22.76,22.14
6/23/11,23.28,5616576,22.03,23.32,21.82
6/24/11,22.87,3028315,23.3,23.66,22.8
6/27/11,22.92,2459229,22.73,23.37,22.47
6/28/11,23.56,3071593,22.96,23.75,22.9
